Building,Category,Value
Houston House,Student Housing,359.5873473631099
Raney House,Student Housing,438.18472892166454
Curl Hall,Student Housing,248.8166997933629
Blackburn House,Student Housing,327.6989044666588
Scott House,Student Housing,122.17981664278444
North Recreation Center,Student Activity,52.61881405304959
Nosker House,Student Housing,217.777726820439
Mathematics Tower,Academic,323.0237403981228
Central Service Building,Facilities,284.3062796710396
Smith-Steeb Hall,Student Housing,407.5155116806792
Siebert Hall,Student Housing,393.59964038914745
Cunz Dieter Hall,Academic,176.26836427236694
Arps George F Hall,Academic,829.5794742867963
Torres House,Student Housing,307.5252210760907
Mathematics Building,Academic,200.27331521869468
Recreation and Physical Activity Center,Student Housing,10110.030475101861
Recreation and Physical Activity Center,Student Housing,1551.0808238439395
Recreation and Physical Activity Center,Student Housing,7040.4846670469615
McCorkle Aquatic Pavilion,Athletics,2.4137302074397446
McCorkle Aquatic Pavilion,Athletics,0.006155555619000723
Denney Joseph Villiers Hall,Academic,938.9575004021393
University Hall,Academic,249.15821468267654
Weigel Eugene J Hall,Academic,581.0865310009889
Eighteenth Ave 209 W,Academic,595.5232223981327
Orton Hall,Academic/Administration,239.5682851445206
